,Region/Country/Area,Year,Data,Enrollments (Thousands)
2042,China,2016,Students enrolled in primary education (thousands),"98,189"
2043,China,2016,Gross enrollement ratio - Primary (male),100.6
2044,China,2016,Gross enrollment ratio - Primary (female),101.2
2045,China,2016,Students enrolled in secondary education (thousands),"83,956"
2046,China,2016,Students enrolled in tertiary education (thousands),"43,886"
2047,China,2016,Gross enrollment ratio - Tertiary (male),44.2
2048,China,2016,Gross enrollment ratio - Tertiary (female),53.3
2049,"China, Hong Kong SAR",2005,Students enrolled in primary education (thousands),451
2050,"China, Hong Kong SAR",2005,Students enrolled in secondary education (thousands),498
2051,"China, Hong Kong SAR",2005,Gross enrollment ratio - Secondary (male),81.3
2052,"China, Hong Kong SAR",2005,Gross enrollment ratio - Secondary (female),81.9
2053,"China, Hong Kong SAR",2005,Students enrolled in tertiary education (thousands),152
2054,"China, Hong Kong SAR",2005,Gross enrollment ratio - Tertiary (male),33.0
2055,"China, Hong Kong SAR",2005,Gross enrollment ratio - Tertiary (female),33.3
2056,"China, Hong Kong SAR",2010,Students enrolled in primary education (thousands),349
2057,"China, Hong Kong SAR",2010,Students enrolled in secondary education (thousands),508
2058,"China, Hong Kong SAR",2010,Gross enrollment ratio - Secondary (male),87.5
2059,"China, Hong Kong SAR",2010,Gross enrollment ratio - Secondary (female),87.1
2060,"China, Hong Kong SAR",2010,Students enrolled in tertiary education (thousands),265
2061,"China, Hong Kong SAR",2010,Gross enrollment ratio - Tertiary (male),59.2
2062,"China, Hong Kong SAR",2010,Gross enrollment ratio - Tertiary (female),58.9
2063,"China, Hong Kong SAR",2014,Students enrolled in primary education (thousands),324
2064,"China, Hong Kong SAR",2014,Gross enrollement ratio - Primary (male),109.4
2065,"China, Hong Kong SAR",2014,Gross enrollment ratio - Primary (female),107.1
2066,"China, Hong Kong SAR",2014,Students enrolled in secondary education (thousands),416
2067,"China, Hong Kong SAR",2014,Gross enrollment ratio - Secondary (male),102.1
2068,"China, Hong Kong SAR",2014,Gross enrollment ratio - Secondary (female),99.0
2069,"China, Hong Kong SAR",2014,Students enrolled in tertiary education (thousands),305
2070,"China, Hong Kong SAR",2014,Gross enrollment ratio - Tertiary (male),65.0
2071,"China, Hong Kong SAR",2014,Gross enrollment ratio - Tertiary (female),72.5
2072,"China, Hong Kong SAR",2015,Students enrolled in primary education (thousands),333
2073,"China, Hong Kong SAR",2015,Gross enrollement ratio - Primary (male),110.5
2074,"China, Hong Kong SAR",2015,Gross enrollment ratio - Primary (female),107.9
2075,"China, Hong Kong SAR",2015,Students enrolled in secondary education (thousands),394
2076,"China, Hong Kong SAR",2015,Gross enrollment ratio - Secondary (male),102.9
2077,"China, Hong Kong SAR",2015,Gross enrollment ratio - Secondary (female),99.9
2078,"China, Hong Kong SAR",2015,Students enrolled in tertiary education (thousands),299
2079,"China, Hong Kong SAR",2015,Gross enrollment ratio - Tertiary (male),64.9
2080,"China, Hong Kong SAR",2015,Gross enrollment ratio - Tertiary (female),73.1
2081,"China, Hong Kong SAR",2016,Students enrolled in primary education (thousands),341
2082,"China, Hong Kong SAR",2016,Gross enrollement ratio - Primary (male),108.3
2083,"China, Hong Kong SAR",2016,Gross enrollment ratio - Primary (female),106.0
2084,"China, Hong Kong SAR",2016,Students enrolled in secondary education (thousands),372
2085,"China, Hong Kong SAR",2016,Gross enrollment ratio - Secondary (male),104.4
2086,"China, Hong Kong SAR",2016,Gross enrollment ratio - Secondary (female),100.9
2087,"China, Hong Kong SAR",2016,Students enrolled in tertiary education (thousands),300
2088,"China, Hong Kong SAR",2016,Gross enrollment ratio - Tertiary (male),67.2
2089,"China, Hong Kong SAR",2016,Gross enrollment ratio - Tertiary (female),76.6
2090,"China, Macao SAR",2005,Students enrolled in primary education (thousands),37
2091,"China, Macao SAR",2005,Gross enrollement ratio - Primary (male),102.8
2092,"China, Macao SAR",2005,Gross enrollment ratio - Primary (female),96.6
2093,"China, Macao SAR",2005,Students enrolled in secondary education (thousands),47
2094,"China, Macao SAR",2005,Gross enrollment ratio - Secondary (male),89.3
2095,"China, Macao SAR",2005,Gross enrollment ratio - Secondary (female),83.2
2096,"China, Macao SAR",2005,Students enrolled in tertiary education (thousands),23
2097,"China, Macao SAR",2005,Gross enrollment ratio - Tertiary (male),65.7
2098,"China, Macao SAR",2005,Gross enrollment ratio - Tertiary (female),44.2
2099,"China, Macao SAR",2010,Students enrolled in primary education (thousands),25
2100,"China, Macao SAR",2010,Gross enrollement ratio - Primary (male),96.6
2101,"China, Macao SAR",2010,Gross enrollment ratio - Primary (female),94.8
2102,"China, Macao SAR",2010,Students enrolled in secondary education (thousands),38
2103,"China, Macao SAR",2010,Gross enrollment ratio - Secondary (male),89.0
2104,"China, Macao SAR",2010,Gross enrollment ratio - Secondary (female),86.2
2105,"China, Macao SAR",2010,Students enrolled in tertiary education (thousands),29
2106,"China, Macao SAR",2010,Gross enrollment ratio - Tertiary (male),56.0
2107,"China, Macao SAR",2010,Gross enrollment ratio - Tertiary (female),54.0
2108,"China, Macao SAR",2014,Students enrolled in primary education (thousands),23
2109,"China, Macao SAR",2014,Gross enrollement ratio - Primary (male),101.3
2110,"China, Macao SAR",2014,Gross enrollment ratio - Primary (female),100.5
2111,"China, Macao SAR",2014,Students enrolled in secondary education (thousands),32
2112,"China, Macao SAR",2014,Gross enrollment ratio - Secondary (male),94.5
2113,"China, Macao SAR",2014,Gross enrollment ratio - Secondary (female),92.0
2114,"China, Macao SAR",2014,Students enrolled in tertiary education (thousands),30
2115,"China, Macao SAR",2014,Gross enrollment ratio - Tertiary (male),57.0
2116,"China, Macao SAR",2014,Gross enrollment ratio - Tertiary (female),72.9
2117,"China, Macao SAR",2015,Students enrolled in primary education (thousands),24
2118,"China, Macao SAR",2015,Gross enrollement ratio - Primary (male),104.1
2119,"China, Macao SAR",2015,Gross enrollment ratio - Primary (female),102.6
2120,"China, Macao SAR",2015,Students enrolled in secondary education (thousands),30
2121,"China, Macao SAR",2015,Gross enrollment ratio - Secondary (male),95.6
2122,"China, Macao SAR",2015,Gross enrollment ratio - Secondary (female),94.1
2123,"China, Macao SAR",2015,Students enrolled in tertiary education (thousands),31
2124,"China, Macao SAR",2015,Gross enrollment ratio - Tertiary (male),62.0
2125,"China, Macao SAR",2015,Gross enrollment ratio - Tertiary (female),80.7
2126,"China, Macao SAR",2016,Students enrolled in primary education (thousands),26
2127,"China, Macao SAR",2016,Gross enrollement ratio - Primary (male),106.5
2128,"China, Macao SAR",2016,Gross enrollment ratio - Primary (female),105.1
2129,"China, Macao SAR",2016,Students enrolled in secondary education (thousands),29
2130,"China, Macao SAR",2016,Gross enrollment ratio - Secondary (male),99.5
2131,"China, Macao SAR",2016,Gross enrollment ratio - Secondary (female),99.1
2132,"China, Macao SAR",2016,Students enrolled in tertiary education (thousands),32
2133,"China, Macao SAR",2016,Gross enrollment ratio - Tertiary (male),67.3
2134,"China, Macao SAR",2016,Gross enrollment ratio - Tertiary (female),89.4
2135,Colombia,2005,Students enrolled in primary education (thousands),"5,298"
2136,Colombia,2005,Gross enrollement ratio - Primary (male),128.7
2137,Colombia,2005,Gross enrollment ratio - Primary (female),126.2
2138,Colombia,2005,Students enrolled in secondary education (thousands),"4,297"
2139,Colombia,2005,Gross enrollment ratio - Secondary (male),79.3
2140,Colombia,2005,Gross enrollment ratio - Secondary (female),87.7
2141,Colombia,2005,Students enrolled in tertiary education (thousands),"1,224"
2142,Colombia,2005,Gross enrollment ratio - Tertiary (male),28.0
2143,Colombia,2005,Gross enrollment ratio - Tertiary (female),30.4
2144,Colombia,2010,Students enrolled in primary education (thousands),"5,085"
2145,Colombia,2010,Gross enrollement ratio - Primary (male),125.4
2146,Colombia,2010,Gross enrollment ratio - Primary (female),123.1
2147,Colombia,2010,Students enrolled in secondary education (thousands),"5,080"
2148,Colombia,2010,Gross enrollment ratio - Secondary (male),97.3
2149,Colombia,2010,Gross enrollment ratio - Secondary (female),106.9
2150,Colombia,2010,Students enrolled in tertiary education (thousands),"1,674"
2151,Colombia,2010,Gross enrollment ratio - Tertiary (male),37.6
2152,Colombia,2010,Gross enrollment ratio - Tertiary (female),41.3
2153,Colombia,2014,Students enrolled in primary education (thousands),"4,543"
2154,Colombia,2014,Gross enrollement ratio - Primary (male),115.7
2155,Colombia,2014,Gross enrollment ratio - Primary (female),111.7
2156,Colombia,2014,Students enrolled in secondary education (thousands),"4,828"
2157,Colombia,2014,Gross enrollment ratio - Secondary (male),95.1
2158,Colombia,2014,Gross enrollment ratio - Secondary (female),102.6
2159,Colombia,2014,Students enrolled in tertiary education (thousands),"2,221"
2160,Colombia,2014,Gross enrollment ratio - Tertiary (male),49.5
2161,Colombia,2014,Gross enrollment ratio - Tertiary (female),57.1
2162,Colombia,2015,Students enrolled in primary education (thousands),"4,479"
2163,Colombia,2015,Gross enrollement ratio - Primary (male),115.4
2164,Colombia,2015,Gross enrollment ratio - Primary (female),111.6
2165,Colombia,2015,Students enrolled in secondary education (thousands),"4,794"
2166,Colombia,2015,Gross enrollment ratio - Secondary (male),94.8
2167,Colombia,2015,Gross enrollment ratio - Secondary (female),101.5
2168,Colombia,2015,Students enrolled in tertiary education (thousands),"2,294"
2169,Colombia,2015,Gross enrollment ratio - Tertiary (male),51.5
2170,Colombia,2015,Gross enrollment ratio - Tertiary (female),59.9
2171,Colombia,2016,Students enrolled in primary education (thousands),"4,448"
2172,Colombia,2016,Gross enrollement ratio - Primary (male),115.7
2173,Colombia,2016,Gross enrollment ratio - Primary (female),112.2
2174,Colombia,2016,Students enrolled in secondary education (thousands),"4,785"
2175,Colombia,2016,Gross enrollment ratio - Secondary (male),95.2
2176,Colombia,2016,Gross enrollment ratio - Secondary (female),101.2
2177,Colombia,2016,Students enrolled in tertiary education (thousands),"2,394"
2178,Colombia,2016,Gross enrollment ratio - Tertiary (male),54.4
2179,Colombia,2016,Gross enrollment ratio - Tertiary (female),63.1
2180,Comoros,2003,Students enrolled in primary education (thousands),104
2181,Comoros,2003,Gross enrollement ratio - Primary (male),120.8
2182,Comoros,2003,Gross enrollment ratio - Primary (female),99.5
2183,Comoros,2003,Students enrolled in secondary education (thousands),38
2184,Comoros,2003,Gross enrollment ratio - Secondary (male),43.5
2185,Comoros,2003,Gross enrollment ratio - Secondary (female),36.5
2186,Comoros,2003,Students enrolled in tertiary education (thousands),2
2187,Comoros,2003,Gross enrollment ratio - Tertiary (male),3.5
2188,Comoros,2003,Gross enrollment ratio - Tertiary (female),2.7
2189,Comoros,2004,Students enrolled in primary education (thousands),104
2190,Comoros,2004,Gross enrollement ratio - Primary (male),114.5
2191,Comoros,2004,Gross enrollment ratio - Primary (female),101.6
2192,Comoros,2004,Students enrolled in secondary education (thousands),43
2193,Comoros,2004,Gross enrollment ratio - Secondary (male),49.8
2194,Comoros,2004,Gross enrollment ratio - Secondary (female),38.0
2195,Comoros,2008,Students enrolled in primary education (thousands),111
2196,Comoros,2008,Gross enrollement ratio - Primary (male),113.0
2197,Comoros,2008,Gross enrollment ratio - Primary (female),104.1
2198,Comoros,2010,Students enrolled in tertiary education (thousands),4
2199,Comoros,2010,Gross enrollment ratio - Tertiary (male),6.6
2200,Comoros,2010,Gross enrollment ratio - Tertiary (female),4.9
2201,Comoros,2014,Students enrolled in primary education (thousands),120
2202,Comoros,2014,Gross enrollement ratio - Primary (male),108.6
2203,Comoros,2014,Gross enrollment ratio - Primary (female),101.2
2204,Comoros,2014,Students enrolled in secondary education (thousands),70
2205,Comoros,2014,Gross enrollment ratio - Secondary (male),59.1
2206,Comoros,2014,Gross enrollment ratio - Secondary (female),63.1
2207,Comoros,2014,Students enrolled in tertiary education (thousands),6
2208,Comoros,2014,Gross enrollment ratio - Tertiary (male),9.9
2209,Comoros,2014,Gross enrollment ratio - Tertiary (female),8.0
2210,Congo,2003,Students enrolled in primary education (thousands),510
2211,Congo,2003,Gross enrollement ratio - Primary (male),100.4
2212,Congo,2003,Gross enrollment ratio - Primary (female),94.3
2213,Congo,2003,Students enrolled in secondary education (thousands),204
2214,Congo,2003,Gross enrollment ratio - Secondary (male),46.5
2215,Congo,2003,Gross enrollment ratio - Secondary (female),32.0
2216,Congo,2003,Students enrolled in tertiary education (thousands),12
2217,Congo,2003,Gross enrollment ratio - Tertiary (male),5.3
2218,Congo,2003,Gross enrollment ratio - Tertiary (female),2.1
2219,Congo,2004,Students enrolled in primary education (thousands),584
2220,Congo,2004,Gross enrollement ratio - Primary (male),112.0
2221,Congo,2004,Gross enrollment ratio - Primary (female),105.0
2222,Congo,2004,Students enrolled in secondary education (thousands),235
2223,Congo,2004,Gross enrollment ratio - Secondary (male),48.2
2224,Congo,2004,Gross enrollment ratio - Secondary (female),40.7
2225,Congo,2005,Students enrolled in primary education (thousands),597
2226,Congo,2005,Gross enrollement ratio - Primary (male),111.4
2227,Congo,2005,Gross enrollment ratio - Primary (female),103.5
2228,Congo,2009,Students enrolled in primary education (thousands),672
2229,Congo,2009,Gross enrollement ratio - Primary (male),109.0
2230,Congo,2009,Gross enrollment ratio - Primary (female),101.5
2231,Congo,2009,Students enrolled in tertiary education (thousands),23
2232,Congo,2009,Gross enrollment ratio - Tertiary (male),10.3
2233,Congo,2009,Gross enrollment ratio - Tertiary (female),2.2
2234,Congo,2010,Students enrolled in primary education (thousands),705
2235,Congo,2010,Gross enrollement ratio - Primary (male),110.0
2236,Congo,2010,Gross enrollment ratio - Primary (female),103.8
2237,Congo,2012,Students enrolled in primary education (thousands),734
2238,Congo,2012,Gross enrollement ratio - Primary (male),100.6
2239,Congo,2012,Gross enrollment ratio - Primary (female),107.8
2240,Congo,2012,Students enrolled in secondary education (thousands),339
2241,Congo,2012,Gross enrollment ratio - Secondary (male),55.8
2242,Congo,2012,Gross enrollment ratio - Secondary (female),48.4
2243,Congo,2012,Students enrolled in tertiary education (thousands),39
2244,Congo,2012,Gross enrollment ratio - Tertiary (male),12.2
2245,Congo,2012,Gross enrollment ratio - Tertiary (female),7.7
2246,Congo,2013,Students enrolled in tertiary education (thousands),37
2247,Congo,2013,Gross enrollment ratio - Tertiary (male),10.6
2248,Congo,2013,Gross enrollment ratio - Tertiary (female),8.0
2249,Cook Islands,2005,Students enrolled in primary education (thousands),2
2250,Cook Islands,2005,Gross enrollement ratio - Primary (male),110.2
2251,Cook Islands,2005,Gross enrollment ratio - Primary (female),113.0
2252,Cook Islands,2005,Students enrolled in secondary education (thousands),2
2253,Cook Islands,2005,Gross enrollment ratio - Secondary (male),75.1
2254,Cook Islands,2005,Gross enrollment ratio - Secondary (female),84.9
2255,Cook Islands,2010,Students enrolled in primary education (thousands),2
2256,Cook Islands,2010,Gross enrollement ratio - Primary (male),104.6
2257,Cook Islands,2010,Gross enrollment ratio - Primary (female),103.6
2258,Cook Islands,2010,Students enrolled in secondary education (thousands),2
2259,Cook Islands,2010,Gross enrollment ratio - Secondary (male),80.7
2260,Cook Islands,2010,Gross enrollment ratio - Secondary (female),88.1
2261,Cook Islands,2012,Students enrolled in primary education (thousands),2
2262,Cook Islands,2012,Gross enrollement ratio - Primary (male),111.5
2263,Cook Islands,2012,Gross enrollment ratio - Primary (female),105.8
2264,Cook Islands,2012,Students enrolled in secondary education (thousands),2
2265,Cook Islands,2012,Gross enrollment ratio - Secondary (male),94.6
2266,Cook Islands,2012,Gross enrollment ratio - Secondary (female),101.2
2267,Cook Islands,2012,Students enrolled in tertiary education (thousands),1
2268,Cook Islands,2012,Gross enrollment ratio - Tertiary (male),41.2
2269,Cook Islands,2012,Gross enrollment ratio - Tertiary (female),50.1
2270,Cook Islands,2014,Students enrolled in primary education (thousands),2
2271,Cook Islands,2014,Gross enrollement ratio - Primary (male),109.8
2272,Cook Islands,2014,Gross enrollment ratio - Primary (female),105.0
2273,Cook Islands,2014,Students enrolled in secondary education (thousands),2
2274,Cook Islands,2014,Gross enrollment ratio - Secondary (male),85.0
2275,Cook Islands,2014,Gross enrollment ratio - Secondary (female),93.6
2276,Cook Islands,2015,Students enrolled in primary education (thousands),2
2277,Cook Islands,2015,Gross enrollement ratio - Primary (male),109.1
2278,Cook Islands,2015,Gross enrollment ratio - Primary (female),99.8
2279,Cook Islands,2015,Students enrolled in secondary education (thousands),2
2280,Cook Islands,2015,Gross enrollment ratio - Secondary (male),85.8
2281,Cook Islands,2015,Gross enrollment ratio - Secondary (female),93.3
2282,Cook Islands,2016,Students enrolled in primary education (thousands),2
2283,Cook Islands,2016,Gross enrollement ratio - Primary (male),111.7
2284,Cook Islands,2016,Gross enrollment ratio - Primary (female),105.2
2285,Cook Islands,2016,Students enrolled in secondary education (thousands),2
2286,Cook Islands,2016,Gross enrollment ratio - Secondary (male),84.9
2287,Cook Islands,2016,Gross enrollment ratio - Secondary (female),90.1
2288,Costa Rica,2004,Students enrolled in primary education (thousands),558
2289,Costa Rica,2004,Gross enrollement ratio - Primary (male),116.7
2290,Costa Rica,2004,Gross enrollment ratio - Primary (female),114.0
2291,Costa Rica,2004,Students enrolled in secondary education (thousands),340
2292,Costa Rica,2004,Gross enrollment ratio - Secondary (male),80.8
2293,Costa Rica,2004,Gross enrollment ratio - Secondary (female),84.3
2294,Costa Rica,2004,Students enrolled in tertiary education (thousands),109
2295,Costa Rica,2004,Gross enrollment ratio - Tertiary (male),24.5
2296,Costa Rica,2004,Gross enrollment ratio - Tertiary (female),30.2
2297,Costa Rica,2005,Students enrolled in primary education (thousands),542
2298,Costa Rica,2005,Gross enrollement ratio - Primary (male),114.4
2299,Costa Rica,2005,Gross enrollment ratio - Primary (female),111.5
2300,Costa Rica,2005,Students enrolled in secondary education (thousands),347
2301,Costa Rica,2005,Gross enrollment ratio - Secondary (male),82.6
2302,Costa Rica,2005,Gross enrollment ratio - Secondary (female),86.2
2303,Costa Rica,2010,Students enrolled in primary education (thousands),521
2304,Costa Rica,2010,Gross enrollement ratio - Primary (male),118.1
2305,Costa Rica,2010,Gross enrollment ratio - Primary (female),115.8
2306,Costa Rica,2010,Students enrolled in secondary education (thousands),414
2307,Costa Rica,2010,Gross enrollment ratio - Secondary (male),100.1
2308,Costa Rica,2010,Gross enrollment ratio - Secondary (female),104.3
2309,Costa Rica,2014,Students enrolled in primary education (thousands),476
2310,Costa Rica,2014,Gross enrollement ratio - Primary (male),111.3
2311,Costa Rica,2014,Gross enrollment ratio - Primary (female),110.3
2312,Costa Rica,2014,Students enrolled in secondary education (thousands),460
2313,Costa Rica,2014,Gross enrollment ratio - Secondary (male),117.2
2314,Costa Rica,2014,Gross enrollment ratio - Secondary (female),123.6
2315,Costa Rica,2014,Students enrolled in tertiary education (thousands),217
2316,Costa Rica,2014,Gross enrollment ratio - Tertiary (male),47.5
2317,Costa Rica,2014,Gross enrollment ratio - Tertiary (female),58.8
2318,Costa Rica,2015,Students enrolled in primary education (thousands),473
2319,Costa Rica,2015,Gross enrollement ratio - Primary (male),110.1
2320,Costa Rica,2015,Gross enrollment ratio - Primary (female),109.5
2321,Costa Rica,2015,Students enrolled in secondary education (thousands),460
2322,Costa Rica,2015,Gross enrollment ratio - Secondary (male),120.7
2323,Costa Rica,2015,Gross enrollment ratio - Secondary (female),125.6
2324,Costa Rica,2015,Students enrolled in tertiary education (thousands),218
2325,Costa Rica,2015,Gross enrollment ratio - Tertiary (male),46.6
2326,Costa Rica,2015,Gross enrollment ratio - Tertiary (female),60.9
2327,Costa Rica,2016,Students enrolled in primary education (thousands),476
2328,Costa Rica,2016,Gross enrollement ratio - Primary (male),109.7
2329,Costa Rica,2016,Gross enrollment ratio - Primary (female),110.3
2330,Costa Rica,2016,Students enrolled in secondary education (thousands),463
2331,Costa Rica,2016,Gross enrollment ratio - Secondary (male),122.8
2332,Costa Rica,2016,Gross enrollment ratio - Secondary (female),129.5
2333,Costa Rica,2016,Students enrolled in tertiary education (thousands),218
2334,Costa Rica,2016,Gross enrollment ratio - Tertiary (male),48.4
2335,Costa Rica,2016,Gross enrollment ratio - Tertiary (female),59.8
2336,Côte d’Ivoire,2003,Students enrolled in primary education (thousands),"2,046"
2337,Côte d’Ivoire,2003,Gross enrollement ratio - Primary (male),79.3
2338,Côte d’Ivoire,2003,Gross enrollment ratio - Primary (female),63.5
2339,Côte d’Ivoire,2009,Students enrolled in primary education (thousands),"2,383"
2340,Côte d’Ivoire,2009,Gross enrollement ratio - Primary (male),79.4
2341,Côte d’Ivoire,2009,Gross enrollment ratio - Primary (female),64.8
2342,Côte d’Ivoire,2009,Students enrolled in tertiary education (thousands),153
2343,Côte d’Ivoire,2009,Gross enrollment ratio - Tertiary (male),11.3
2344,Côte d’Ivoire,2009,Gross enrollment ratio - Tertiary (female),6.0
2345,Côte d’Ivoire,2010,Students enrolled in tertiary education (thousands),144
2346,Côte d’Ivoire,2010,Gross enrollment ratio - Tertiary (male),10.4
2347,Côte d’Ivoire,2010,Gross enrollment ratio - Tertiary (female),5.4
2348,Côte d’Ivoire,2014,Students enrolled in primary education (thousands),"3,177"
2349,Côte d’Ivoire,2014,Gross enrollement ratio - Primary (male),94.2
2350,Côte d’Ivoire,2014,Gross enrollment ratio - Primary (female),82.0
2351,Côte d’Ivoire,2014,Students enrolled in secondary education (thousands),"1,418"
2352,Côte d’Ivoire,2014,Gross enrollment ratio - Secondary (male),46.4
2353,Côte d’Ivoire,2014,Gross enrollment ratio - Secondary (female),32.7
2354,Côte d’Ivoire,2014,Students enrolled in tertiary education (thousands),177
2355,Côte d’Ivoire,2014,Gross enrollment ratio - Tertiary (male),10.8
2356,Côte d’Ivoire,2014,Gross enrollment ratio - Tertiary (female),6.3
2357,Côte d’Ivoire,2015,Students enrolled in primary education (thousands),"3,371"
2358,Côte d’Ivoire,2015,Gross enrollement ratio - Primary (male),97.6
2359,Côte d’Ivoire,2015,Gross enrollment ratio - Primary (female),85.9
2360,Côte d’Ivoire,2015,Students enrolled in secondary education (thousands),"1,587"
2361,Côte d’Ivoire,2015,Gross enrollment ratio - Secondary (male),50.4
2362,Côte d’Ivoire,2015,Gross enrollment ratio - Secondary (female),36.1
2363,Côte d’Ivoire,2015,Students enrolled in tertiary education (thousands),193
2364,Côte d’Ivoire,2015,Gross enrollment ratio - Tertiary (male),10.8
2365,Côte d’Ivoire,2015,Gross enrollment ratio - Tertiary (female),7.2
2366,Côte d’Ivoire,2016,Students enrolled in primary education (thousands),"3,617"
2367,Côte d’Ivoire,2016,Gross enrollement ratio - Primary (male),102.1
2368,Côte d’Ivoire,2016,Gross enrollment ratio - Primary (female),91.3
2369,Côte d’Ivoire,2016,Students enrolled in secondary education (thousands),"1,727"
2370,Côte d’Ivoire,2016,Gross enrollment ratio - Secondary (male),53.3
2371,Côte d’Ivoire,2016,Gross enrollment ratio - Secondary (female),38.8
2372,Croatia,2005,Students enrolled in primary education (thousands),196
2373,Croatia,2005,Gross enrollement ratio - Primary (male),103.3
2374,Croatia,2005,Gross enrollment ratio - Primary (female),103.4
2375,Croatia,2005,Students enrolled in secondary education (thousands),400
2376,Croatia,2005,Gross enrollment ratio - Secondary (male),91.7
2377,Croatia,2005,Gross enrollment ratio - Secondary (female),94.8
2378,Croatia,2005,Students enrolled in tertiary education (thousands),135
2379,Croatia,2005,Gross enrollment ratio - Tertiary (male),40.5
2380,Croatia,2005,Gross enrollment ratio - Tertiary (female),49.2
2381,Croatia,2010,Students enrolled in primary education (thousands),167
2382,Croatia,2010,Gross enrollement ratio - Primary (male),91.9
2383,Croatia,2010,Gross enrollment ratio - Primary (female),92.0
2384,Croatia,2010,Students enrolled in secondary education (thousands),389
2385,Croatia,2010,Gross enrollment ratio - Secondary (male),96.5
2386,Croatia,2010,Gross enrollment ratio - Secondary (female),103.4
2387,Croatia,2010,Students enrolled in tertiary education (thousands),150
2388,Croatia,2010,Gross enrollment ratio - Tertiary (male),46.3
2389,Croatia,2010,Gross enrollment ratio - Tertiary (female),62.1
2390,Croatia,2014,Students enrolled in primary education (thousands),161
2391,Croatia,2014,Gross enrollement ratio - Primary (male),99.1
2392,Croatia,2014,Gross enrollment ratio - Primary (female),98.8
2393,Croatia,2014,Students enrolled in secondary education (thousands),370
2394,Croatia,2014,Gross enrollment ratio - Secondary (male),97.0
2395,Croatia,2014,Gross enrollment ratio - Secondary (female),100.6
2396,Croatia,2014,Students enrolled in tertiary education (thousands),166
2397,Croatia,2014,Gross enrollment ratio - Tertiary (male),57.2
2398,Croatia,2014,Gross enrollment ratio - Tertiary (female),78.4
2399,Croatia,2015,Students enrolled in primary education (thousands),162
2400,Croatia,2015,Gross enrollement ratio - Primary (male),97.9
2401,Croatia,2015,Gross enrollment ratio - Primary (female),98.2
2402,Croatia,2015,Students enrolled in secondary education (thousands),360
2403,Croatia,2015,Gross enrollment ratio - Secondary (male),96.0
2404,Croatia,2015,Gross enrollment ratio - Secondary (female),100.6
2405,Croatia,2015,Students enrolled in tertiary education (thousands),162
2406,Croatia,2015,Gross enrollment ratio - Tertiary (male),57.1
2407,Croatia,2015,Gross enrollment ratio - Tertiary (female),77.3
2408,Croatia,2016,Students enrolled in primary education (thousands),163
2409,Croatia,2016,Gross enrollement ratio - Primary (male),95.0
2410,Croatia,2016,Gross enrollment ratio - Primary (female),95.8
2411,Croatia,2016,Students enrolled in secondary education (thousands),349
2412,Croatia,2016,Gross enrollment ratio - Secondary (male),95.6
2413,Croatia,2016,Gross enrollment ratio - Secondary (female),100.0
2414,Croatia,2016,Students enrolled in tertiary education (thousands),162
2415,Croatia,2016,Gross enrollment ratio - Tertiary (male),57.0
2416,Croatia,2016,Gross enrollment ratio - Tertiary (female),78.5
2417,Cuba,2005,Students enrolled in primary education (thousands),895
2418,Cuba,2005,Gross enrollement ratio - Primary (male),99.7
2419,Cuba,2005,Gross enrollment ratio - Primary (female),96.8
2420,Cuba,2005,Students enrolled in secondary education (thousands),937
2421,Cuba,2005,Gross enrollment ratio - Secondary (male),91.6
2422,Cuba,2005,Gross enrollment ratio - Secondary (female),93.1
2423,Cuba,2005,Students enrolled in tertiary education (thousands),472
2424,Cuba,2005,Gross enrollment ratio - Tertiary (male),46.6
2425,Cuba,2005,Gross enrollment ratio - Tertiary (female),78.8
2426,Cuba,2010,Students enrolled in primary education (thousands),853
2427,Cuba,2010,Gross enrollement ratio - Primary (male),104.0
2428,Cuba,2010,Gross enrollment ratio - Primary (female),102.2
2429,Cuba,2010,Students enrolled in secondary education (thousands),809
2430,Cuba,2010,Gross enrollment ratio - Secondary (male),90.8
2431,Cuba,2010,Gross enrollment ratio - Secondary (female),91.4
2432,Cuba,2010,Students enrolled in tertiary education (thousands),801
2433,Cuba,2010,Gross enrollment ratio - Tertiary (male),72.4
2434,Cuba,2010,Gross enrollment ratio - Tertiary (female),119.2
2435,Cuba,2013,Students enrolled in primary education (thousands),772
2436,Cuba,2013,Gross enrollement ratio - Primary (male),101.4
2437,Cuba,2013,Gross enrollment ratio - Primary (female),100.0
2438,Cuba,2013,Students enrolled in secondary education (thousands),787
2439,Cuba,2013,Gross enrollment ratio - Secondary (male),91.8
2440,Cuba,2013,Gross enrollment ratio - Secondary (female),92.8
2441,Cuba,2013,Students enrolled in tertiary education (thousands),373
2442,Cuba,2013,Gross enrollment ratio - Tertiary (male),36.9
2443,Cuba,2013,Gross enrollment ratio - Tertiary (female),61.5
2444,Cuba,2014,Students enrolled in primary education (thousands),763
2445,Cuba,2014,Gross enrollement ratio - Primary (male),104.1
2446,Cuba,2014,Gross enrollment ratio - Primary (female),99.0
2447,Cuba,2014,Students enrolled in secondary education (thousands),830
2448,Cuba,2014,Gross enrollment ratio - Secondary (male),97.8
2449,Cuba,2014,Gross enrollment ratio - Secondary (female),100.3
2450,Cuba,2014,Students enrolled in tertiary education (thousands),302
2451,Cuba,2015,Students enrolled in primary education (thousands),746
2452,Cuba,2015,Gross enrollement ratio - Primary (male),103.8
